Date,,ch19,ch20
01-01,,31.11096343,30.6808077
01-02,,33.08412252,32.46899881
01-03,,32.59588317,32.43114021
01-04,,32.11811167,31.84268652
01-05,,32.34916712,30.76181439
01-06,,31.4004965,31.35771821
01-07,,32.14337597,31.27497165
01-08,,31.69965048,31.81006994
01-09,,32.31034458,32.7223766
01-10,,32.12859878,32.00375944
01-11,,32.18692448,31.72728018
01-12,,31.43131743,30.66262324
01-13,,30.57037182,31.54191979
01-14,,30.5938673,31.19980231
01-15,,30.79779806,31.78063688
01-16,,31.2755894,31.62235136
01-17,,30.94402194,30.62047876
01-18,,30.68556494,28.56281251
01-19,,29.69939507,27.28027333
01-20,,28.54757429,26.90772442
01-21,,28.76772379,25.77684456
01-22,,28.70670742,25.20369569
01-23,,28.37681227,23.96851762
01-24,,27.82785656,23.28570894
01-25,,27.61459402,22.3677569
01-26,,27.32294558,21.99865428
01-27,,25.69358348,22.55686254
01-28,,26.19316255,22.59154014
01-29,,24.89441578,21.7519668
01-30,,24.95286766,21.67786921
02-01,,24.86471726,20.76578181
02-02,,23.54249887,20.55964388
02-03,,22.69925601,20.76095863
02-04,,22.2965257,20.58409673
02-05,,21.73424432,20.70987128
02-06,,21.07181298,21.30617324
02-07,,21.12185036,21.92185366
02-08,,22.08242098,21.47506862
02-09,,23.23206348,20.43321704
02-10,,24.58655739,19.29803847
02-11,,25.55087935,19.67736223
02-12,,25.89107375,19.26283942
02-13,,26.64794347,18.91353861
02-14,,26.71276289,18.51543205
02-15,,27.00189414,19.66606381
02-16,,27.37895447,20.08181934
02-17,,27.02177339,20.23109452
02-18,,27.3777083,20.75550317
02-19,,28.98253432,20.57530086
02-20,,28.56012804,21.0528364
02-21,,28.5460489,20.19431444
02-22,,29.21194665,20.17905068
02-23,,28.95037302,19.87835065
02-24,,27.93346134,18.76683608
02-25,,27.03084106,20.42598891
02-26,,27.88096373,20.98686451
02-27,,28.65932204,21.60070929
02-28,,28.48407605,21.66084027
02-29,,27.76766911,22.44924411
02-30,,30.86641554,21.97747994
03-01,,30.31546972,23.54038255
03-02,,29.55385726,25.65260744
03-03,,29.17884334,25.6912731
03-04,,29.08232417,25.87205766
03-05,,28.94202989,24.7773484
03-06,,29.44865124,25.88963699
03-07,,29.72216079,24.00215442
03-08,,29.04828513,23.42444724
03-09,,27.97150024,26.17881135
03-10,,27.59173667,25.68953966
03-11,,28.06126441,25.17983451
03-12,,28.53841611,25.07473592
03-13,,28.41131011,25.88739557
03-14,,28.03911033,24.89286056
03-15,,27.24747415,24.45841692
03-16,,27.07621301,26.05401963
03-17,,27.12568105,25.49643338
03-18,,26.59930337,24.335116
03-19,,26.94744851,25.27970407
03-20,,28.01123134,25.39241301
03-21,,28.35070471,25.24732513
03-22,,27.61513671,24.46028966
03-23,,27.24407573,26.5480917
03-24,,27.4458038,25.79207666
03-25,,27.17012443,25.09160562
03-26,,27.47942383,26.86160877
03-27,,27.82093013,26.91989241
03-28,,27.09206307,26.62005438
03-29,,26.5482021,26.72361022
03-30,,28.436388,27.7234838
04-01,,29.19711649,27.49672957
04-02,,29.63498978,29.54366221
04-03,,28.68468777,29.73892704
04-04,,26.54521421,29.29657341
04-05,,25.96841132,25.33342457
04-06,,27.10697347,26.99682795
04-07,,27.77850709,28.08832922
04-08,,28.84063999,29.08058
04-09,,30.14874213,29.0344632
04-10,,30.30012041,28.6468005
04-11,,29.32039036,29.29278001
04-12,,28.46090021,27.74296801
04-13,,27.58801039,26.70496608
04-14,,27.34012536,28.74137405
04-15,,27.46752611,28.98452981
04-16,,26.65007004,27.63310185
04-17,,26.59158133,27.21667648
04-18,,27.38708543,28.33045757
04-19,,27.69864011,28.0589672
04-20,,27.43148787,25.83380799
04-21,,27.13754932,27.88814512
04-22,,27.6216071,28.98564627
04-23,,28.07473986,28.38092741
04-24,,28.20566503,28.03138366
04-25,,28.07725455,27.3074236
04-26,,27.84032903,26.92383302
04-27,,27.88405204,28.02956987
04-28,,27.75667802,28.60606731
04-29,,27.03601311,27.32087662
04-30,,25.58311279,28.36036903
